n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59520*1;Aventim | Marquette-lez-Lille;187, Rue de Menin, Marquette-lez-Lille, 59520;-;3.083255;50.679810;4;FR*E24*E10169*P2;22.000;T2;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59910*1;Aventim | Bondues;1, Avenue du Général de Gaulle, Bondues, 59910;-;3.085165;50.686440;4;FR*E24*E10166*P1;22.000;T2 - E/F;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59520*1;Aventim | Marquette-lez-Lille;187, Rue de Menin, Marquette-lez-Lille, 59520;-;3.083255;50.679810;4;FR*E24*E10168*P1;22.000;T2 - E/F;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59910*1;Aventim | Bondues;1, Avenue du Général de Gaulle, Bondues, 59910;-;3.085165;50.686440;4;FR*E24*E10167*P2;22.000;T2;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59910*1;Aventim | Bondues;1, Avenue du Général de Gaulle, Bondues, 59910;-;3.085165;50.686440;4;FR*E24*E10167*P1;22.000;T2 - E/F;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59520*1;Aventim | Marquette-lez-Lille;187, Rue de Menin, Marquette-lez-Lille, 59520;-;3.083255;50.679810;4;FR*E24*E10169*P1;22.000;T2 - E/F;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59910*1;Aventim | Bondues;1, Avenue du Général de Gaulle, Bondues, 59910;-;3.085165;50.686440;4;FR*E24*E10166*P2;22.000;T2;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59520*1;Aventim | Marquette-lez-Lille;187, Rue de Menin, Marquette-lez-Lille, 59520;-;3.083255;50.679810;4;FR*E24*E10168*P2;22.000;T2;Payant - CB;Accès libre;;2018/06/04;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*5*_*_*_;PG;Parking PG, Aéroport de Roissy-CDG;77294;2.605804;49.005505;2;FR*SOD*E*GADP*5*8*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2018/11/07;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*1*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2017/12/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*5*_*_*_;PG;Parking PG, Aéroport de Roissy-CDG;77294;2.605804;49.005505;2;FR*SOD*E*GADP*5*6*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2018/11/07;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*6*_*_*_;PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828;2;FR*SOD*E*GADP*6*2*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2018/11/07;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*6*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2017/12/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*2*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2017/12/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*12*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2017/12/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*1*_*_*_;P1;Parking P1, Aéroport de Roissy-CDG;77282;2.541442;49.013870;2;FR*SOD*E*GADP*1*3*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;2017/12/20;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7
